ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
504,variable,,"CACAHUATE ENCHILADO",1,0,visible,,,,,taxable,,1,7,,0,0,,,,,1,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-26.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-ENCHILADO.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
505,variation,07503018231891,"CACAHUATE ENCHILADO - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:504,,,,,,1,GRAMOS,"200 gr",,0
506,variation,07503050663735,"CACAHUATE ENCHILADO - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:504,,,,,,2,GRAMOS,"1 kg",,0
511,variable,,"CACAHUATE ESPAÑOL",1,0,visible,,,,,taxable,,1,8,,0,0,,,,,0,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-29.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-ESPANOL-CON-AJO.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
512,variation,07503018231907,"CACAHUATE ESPAÑOL - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:511,,,,,,1,GRAMOS,"200 gr",,0
513,variation,07503050663742,"CACAHUATE ESPAÑOL - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:511,,,,,,2,GRAMOS,"1 kg",,0
518,variable,,"CACAHUATE ESPAÑOL CON AJO",1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-17.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-ESPANOL-CON-AJO.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
519,variation,07503018231914,"CACAHUATE ESPAÑOL CON AJO - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:518,,,,,,1,GRAMOS,"200 gr",,0
520,variation,07503050663759,"CACAHUATE ESPAÑOL CON AJO - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:518,,,,,,2,GRAMOS,"1 kg",,0
525,variable,,"CACAHUATE HOLANDES (HOT NUT)",1,0,visible,,,,,taxable,,1,7,,0,0,,,,,1,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-20.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-HOLANDES.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
526,variation,07503018231921,"CACAHUATE HOLANDES (HOT NUT) - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:525,,,,,,1,GRAMOS,"200 gr",,0
527,variation,07503050663766,"CACAHUATE HOLANDES (HOT NUT) - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:525,,,,,,2,GRAMOS,"1 kg",,0
532,variable,,"CACAHUATE JAPONES",1,0,visible,,,,,taxable,,1,7,,0,0,,,,,0,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-23.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-JAPONES.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
533,variation,07503018231938,"CACAHUATE JAPONES - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:532,,,,,,1,GRAMOS,"200 gr",,0
534,variation,07503050663773,"CACAHUATE JAPONES - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:532,,,,,,2,GRAMOS,"1 kg",,0
535,variable,,"CACAHUATE JAPONES CON CHIPOTLE",1,0,visible,,,,,taxable,,1,6,,0,0,,,,,1,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/81.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-JAPONES-CON-CHIPOTLE.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
536,variation,07503018231945,"CACAHUATE JAPONES CON CHIPOTLE - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:535,,,,,,1,GRAMOS,"200 gr",,0
537,variation,07503050663780,"CACAHUATE JAPONES CON CHIPOTLE - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:535,,,,,,2,GRAMOS,"1 kg",,0
544,variable,,"CACAHUATE JAPONES C/QUESO CHEDAR",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,,Cacahuates,,,http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-2-1.png,,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
545,variation,07503018231952,"CACAHUATE JAPONES C/QUESO CHEDAR - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:544,,,,,,1,GRAMOS,"200 gr",,0
